geneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AMEX60DD000398	149.8289422	0.145462773	0.393038028	0.370098469	0.711309123	0.999973456
AMEX60DD000399	16.75032877	0.596146638	1.044196954	0.57091398	0.568057954	0.999973456
AMEX60DD000400	12533.30596	-0.275089357	0.266411236	-1.032574155	0.301803228	0.999973456
AMEX60DD000402	1491.37453	0.303691718	0.221403155	1.371668432	0.17016668	0.999973456
AMEX60DD000404	2673.09195	-0.023582457	0.333153573	-0.070785545	0.943568437	0.999973456
AMEX60DD000412	2133.54058	0.158219035	0.284719647	0.55570115	0.578415171	0.999973456
AMEX60DD000414	1131.294198	0.005428127	0.216664639	0.025053129	0.980012586	0.999973456
AMEX60DD000415	1607.224632	-0.014039826	0.216319333	-0.064903243	0.948251039	0.999973456
AMEX60DD000416	159.1451892	-0.092229412	0.491308054	-0.187722166	0.851094453	0.999973456
AMEX60DD000417	1183.509686	-0.172741007	0.299061233	-0.577610829	0.563526894	0.999973456
AMEX60DD000420	158.3450823	-0.240978078	0.685491741	-0.351540454	0.725182928	0.999973456
AMEX60DD000422	10.74369256	0.049851925	1.269637181	0.039264701	0.968679349	NA
AMEX60DD000424	831.8748776	0.439535016	0.86004636	0.511059678	0.609309269	0.999973456
AMEX60DD000431	1177.392264	-0.250770666	0.437216619	-0.573561605	0.5662645	0.999973456
AMEX60DD000436	126.0503269	-0.156018287	0.731379696	-0.213320507	0.831076979	0.999973456
AMEX60DD000439	7873.73444	-0.018761066	0.329892392	-0.05687026	0.954648545	0.999973456
AMEX60DD000440	1047.041005	0.182218652	0.292199298	0.623610846	0.532883186	0.999973456
AMEX60DD000441	55.14035883	0.32020612	0.769386445	0.41618373	0.677275564	0.999973456
AMEX60DD000444	43.42858185	0.221411889	0.828654751	0.267194375	0.789319507	0.999973456
AMEX60DD000445	73.52780205	-0.276199634	1.120870525	-0.246415289	0.805360773	0.999973456
AMEX60DD000447	27.57962629	0.251836937	1.023047089	0.246163583	0.805555605	0.999973456
AMEX60DD000448	1267.945646	-0.143847612	0.302916201	-0.474875928	0.63487541	0.999973456
AMEX60DD000449	183.1827084	0.165109924	0.741907193	0.222547948	0.823887352	0.999973456
AMEX60DD000450	493.9343692	-0.313371105	0.771542867	-0.406161625	0.684623848	0.999973456
AMEX60DD000452	9.543255967	0.084572578	1.592135603	0.053118954	0.95763713	NA
AMEX60DD000453	145.9770045	0.49750629	0.603383682	0.824527254	0.409640037	0.999973456
AMEX60DD000454	60.71507631	0.152941814	0.583966656	0.261901621	0.79339729	0.999973456
AMEX60DD000457	39.85526465	-0.132163984	0.846002832	-0.15622168	0.875858288	0.999973456
AMEX60DD000459	334.8566185	0.121393148	0.388171847	0.312730428	0.754485476	0.999973456
AMEX60DD000461	79.89917598	-0.590892915	0.542303813	-1.089597565	0.275890456	0.999973456
AMEX60DD000464	9707.659718	-0.192963529	0.181835369	-1.061199091	0.288599432	0.999973456
AMEX60DD000465	1111.247865	-0.064970383	0.326771666	-0.198825021	0.842399623	0.999973456
AMEX60DD000467	1741.473488	-0.133259677	0.429474173	-0.310285658	0.756343736	0.999973456
AMEX60DD000469	52.2201003	-0.089388458	0.61707476	-0.144858393	0.884822677	0.999973456
AMEX60DD000473	1550.43282	-0.108444591	0.316518848	-0.342616536	0.73188696	0.999973456
