Gene.ID	Gene.Name	Log2FC	FDR	AveExpr	undif.r1	undif.r2	undif.r3	dif.r1	dif.r2	dif.r3
ENSG00000229676	ZNF492	-0.648050314	0.10012386	1.21926579203616	51	58	74	24	51	49
ENSG00000229809	ZNF688	-0.049548448	0.752462841	3.82946746288149	324	303	264	317	305	287
ENSG00000229833	PET100	0.01747203	0.913428725	3.03214182708066	164	170	166	174	186	173
ENSG00000229894	GK3P	-1.030801186	0.103122675	-1.55972942655592	10	8	11	2	5	9
ENSG00000230124	ACBD6	-0.20336102	0.050023044	6.5853579887119	2256	2201	1917	1734	1967	2122
ENSG00000230358	SPDYE21P	-0.21531368	0.68154202	-0.155686710253335	14	32	16	19	13	22
ENSG00000230453	ANKRD18B	-1.106130758	0.000308212	3.63034546668277	376	392	356	146	212	193
ENSG00000230626	AC011005.1	-0.148087449	0.499376657	2.66725058035465	167	150	101	130	142	121
ENSG00000230667	SETSIP	-0.332061131	0.538088401	-1.18552191115754	15	6	10	5	9	11
ENSG00000230778	ANKRD63	1.18685048	0.093050942	-1.47925204103885	2	8	5	13	9	12
ENSG00000230797	YY2	0.30692581	0.250111956	1.75876395218791	54	84	53	68	87	89
ENSG00000230873	STMND1	2.253603272	0.008715523	-1.88887459570158	1	4	2	9	18	11
ENSG00000230989	HSBP1	-0.34090407	0.004922795	7.54356194578637	4609	4199	4164	3124	3848	3828
ENSG00000231500	RPS18	0.037171611	0.728235226	10.0619469837613	23507	20921	20824	22509	23866	23858
ENSG00000231738	TSPAN19	0.805064199	0.006659876	1.40128154545891	49	39	35	62	82	83
ENSG00000231767	AL136454.1	-0.374269874	0.017481728	3.87426243764362	342	346	342	243	288	306
ENSG00000231852	CYP21A2	3.121459425	0.014623367	-2.50175608098676	0	1	2	17	12	6
ENSG00000231887	PRH1	-0.391766367	0.336380579	-0.194053725674613	21	17	23	12	14	24
ENSG00000231925	TAPBP	0.306110764	0.283195962	6.44509658404165	1867	1702	1314	2711	1936	1754
ENSG00000231989	PPP1R2B	0.485343264	0.09258388	0.922354931171026	34	33	30	53	46	46
ENSG00000232040	ZBED9	0.261134205	0.10330126	3.76951329705715	262	239	268	302	366	302
ENSG00000232112	TMA7	0.158070373	0.239196349	5.08981492308657	694	618	678	763	794	776
ENSG00000232119	MCTS1	0.132784967	0.228325379	5.9397257864335	1303	1126	1194	1286	1415	1473
ENSG00000232196	MTRNR2L4	-0.127629413	0.891667125	-1.11438952373617	8	14	8	2	14	22
ENSG00000232237	ASCL5	-0.728275118	0.092115924	-0.366716941858874	23	21	17	7	16	17
ENSG00000232388	SMIM26	0.219836024	0.284614334	3.52900669194779	234	195	230	291	257	262
ENSG00000232434	AJM1	0.763732522	0.00690482	4.26653755543432	348	376	211	502	578	554
ENSG00000232593	KANTR	0.05522264	0.654649598	4.37203404388191	461	401	393	404	454	517
ENSG00000232653	GOLGA8N	0.933658892	0.014069344	1.17997242033219	40	25	37	53	70	81
ENSG00000232810	TNF	-6.145343694	0.000224336	-0.873137767313356	95	100	92	0	3	1
ENSG00000232838	PET117	-0.555481504	0.027345046	1.79612731952971	94	96	71	50	77	60
ENSG00000232859	LYRM9	1.310813855	0.016078735	1.16937873310775	31	26	29	106	62	69
ENSG00000233087	RAB6D	1.046847159	0.052714663	-1.08097954075128	7	5	7	15	19	10
ENSG00000233198	RNF224	0.703963748	0.003219964	2.87866720323854	127	110	118	177	207	226
ENSG00000233232	NPIPB7	1.042452361	0.02870891	-1.15275193313959	6	7	5	11	13	17
ENSG00000233493	TMEM238	-0.752217121	0.077128685	-0.11970398385417	26	26	20	20	12	14
ENSG00000233608	TWIST2	5.713464806	0.002540203	-1.70744356491243	2	0	0	74	46	33
ENSG00000233757	AC092835.1	-0.89082405	0.030658334	1.46499613300153	87	75	72	23	63	54
ENSG00000233822	HIST1H2BN	-0.034769882	0.929308067	0.780643929408739	49	30	29	44	41	27
ENSG00000233927	RPS28	-0.045738179	0.638053302	4.65887715711162	569	532	484	499	588	529
ENSG00000233954	UQCRHL	-0.146014351	0.078680852	7.27801470509456	3616	3349	3128	2760	3552	3309
ENSG00000234127	TRIM26	-0.171177039	0.070462431	5.82426030689974	1319	1302	1101	1004	1311	1167
ENSG00000234224	TMEM229A	-0.962545175	0.014748203	6.35612543054871	2409	2363	2305	720	1554	1808
ENSG00000234284	ZNF879	0.031072232	0.886940183	2.07387621018457	87	90	80	71	121	88
ENSG00000234409	CCDC188	-0.179254843	0.170655682	4.76695779404211	664	651	486	517	572	574
ENSG00000234444	ZNF736	0.121211821	0.214720325	5.63314347828099	1007	1018	915	958	1174	1243
ENSG00000234545	FAM133B	-0.086504503	0.662142213	3.69739097496816	294	264	270	194	294	347
ENSG00000234616	JRK	-0.88908863	0.002557436	5.88154281782497	1771	1791	1426	643	1152	1100
ENSG00000234745	HLA-B	-0.419813994	0.572028798	2.22138857048072	124	116	88	207	98	34
ENSG00000234776	C11orf94	0.484715891	0.359670938	-1.24018747534389	4	9	9	9	10	12
ENSG00000235034	C19orf81	0.638174454	0.094040375	1.67998227840728	69	50	40	110	73	82
ENSG00000235098	ANKRD65	1.890204074	0.0008239	0.602348773782392	19	17	12	49	68	74
ENSG00000235106	BRD3OS	0.280122167	0.044580159	5.55711633923441	985	894	767	1123	1157	1089
